date,state,organization,no_of_phase_one_awards,total_phase_one_obligation,no_of_phase_two_awards,total_phase_two_obligation,total_awards,total_obligation
2010,AL,Department of Agriculture,1,90000,0,0,1,90000
2010,AR,Department of Agriculture,3,270000,2,790861,5,1060861
2010,CA,Department of Agriculture,11,969742,1,372240,12,1341982
2010,CO,Department of Agriculture,4,330440,3,1199998,7,1530438
2010,CT,Department of Agriculture,0,0,1,181646,1,181646
2010,DE,Department of Agriculture,1,90000,1,400000,2,490000
2010,FL,Department of Agriculture,2,169310,1,399733,3,569043
2010,GA,Department of Agriculture,1,90000,0,0,1,90000
2010,HI,Department of Agriculture,3,270000,3,1199974,6,1469974
2010,IA,Department of Agriculture,1,79700,2,800000,3,879700
2010,ID,Department of Agriculture,1,73598,0,0,1,73598
2010,IL,Department of Agriculture,3,261067,1,400000,4,661067
2010,IN,Department of Agriculture,1,90000,1,398341,2,488341
2010,KS,Department of Agriculture,3,269688,1,356550,4,626238
2010,LA,Department of Agriculture,1,89180,0,0,1,89180
2010,MA,Department of Agriculture,3,259540,2,799498,5,1059038
2010,MD,Department of Agriculture,1,90000,1,395850,2,485850
2010,ME,Department of Agriculture,1,89952,2,799974,3,889926
2010,MI,Department of Agriculture,6,517617,1,398972,7,916589
2010,MN,Department of Agriculture,0,0,1,398739,1,398739
2010,MO,Department of Agriculture,1,90000,1,400000,2,490000
2010,MS,Department of Agriculture,1,90000,0,0,1,90000
2010,MT,Department of Agriculture,2,180000,2,791369,4,971369
2010,NC,Department of Agriculture,1,79966,1,400000,2,479966
2010,NJ,Department of Agriculture,3,268841,0,0,3,268841
2010,NM,Department of Agriculture,0,0,1,400000,1,400000
2010,NY,Department of Agriculture,6,529521,2,800000,8,1329521
2010,OH,Department of Agriculture,1,89854,1,400000,2,489854
2010,OR,Department of Agriculture,2,173240,0,0,2,173240
2010,PA,Department of Agriculture,1,90000,1,392225,2,482225
2010,SC,Department of Agriculture,1,89958,0,0,1,89958
2010,SD,Department of Agriculture,2,179600,0,0,2,179600
2010,TN,Department of Agriculture,1,89890,0,0,1,89890
2010,TX,Department of Agriculture,7,619750,0,0,7,619750
2010,UT,Department of Agriculture,2,179408,1,400000,3,579408
2010,VA,Department of Agriculture,3,269652,1,400000,4,669652
2010,WA,Department of Agriculture,6,530959,0,0,6,530959
2010,WI,Department of Agriculture,3,270000,2,738549,5,1008549
2010,WY,Department of Agriculture,2,175745,1,400000,3,575745
2011,AL,Department of Agriculture,2,199991,1,460000,3,659991
2011,AR,Department of Agriculture,1,100000,1,460000,2,560000
2011,CA,Department of Agriculture,6,599800,5,2296795,11,2896595
2011,CO,Department of Agriculture,1,100000,3,1289516,4,1389516
2011,CT,Department of Agriculture,2,194664,0,0,2,194664
2011,DE,Department of Agriculture,0,0,2,920000,2,920000
2011,FL,Department of Agriculture,3,294341,0,0,3,294341
2011,GA,Department of Agriculture,1,99840,0,0,1,99840
2011,HI,Department of Agriculture,1,100000,2,920000,3,1020000
2011,IA,Department of Agriculture,1,100000,1,460000,2,560000
2011,ID,Department of Agriculture,2,199107,0,0,2,199107
2011,IL,Department of Agriculture,1,99790,1,460000,2,559790
2011,IN,Department of Agriculture,2,199926,0,0,2,199926
2011,KS,Department of Agriculture,0,0,2,920000,2,920000
2011,KY,Department of Agriculture,1,99961,0,0,1,99961
2011,LA,Department of Agriculture,1,76978,0,0,1,76978
2011,MA,Department of Agriculture,3,299380,1,460000,4,759380
2011,MD,Department of Agriculture,3,299876,2,901863,5,1201739
2011,ME,Department of Agriculture,1,99942,0,0,1,99942
2011,MI,Department of Agriculture,0,0,4,1840000,4,1840000
2011,MN,Department of Agriculture,1,98815,0,0,1,98815
2011,MO,Department of Agriculture,1,95513,0,0,1,95513
2011,NC,Department of Agriculture,1,100000,1,460000,2,560000
2011,NH,Department of Agriculture,1,89500,1,460000,2,549500
2011,NJ,Department of Agriculture,4,397527,1,460000,5,857527
2011,NM,Department of Agriculture,1,100000,0,0,1,100000
2011,NY,Department of Agriculture,1,99510,1,460000,2,559510
2011,OH,Department of Agriculture,4,399564,0,0,4,399564
2011,OR,Department of Agriculture,2,189927,2,920000,4,1109927
2011,PA,Department of Agriculture,2,198833,2,920000,4,1118833
2011,SD,Department of Agriculture,1,100000,0,0,1,100000
2011,TX,Department of Agriculture,2,199836,1,460000,3,659836
2011,VA,Department of Agriculture,0,0,1,460000,1,460000
2011,WA,Department of Agriculture,1,96700,0,0,1,96700
2011,WI,Department of Agriculture,2,197705,1,460000,3,657705
2011,WY,Department of Agriculture,0,0,1,460000,1,460000
2012,AL,Department of Agriculture,1,100000,0,0,1,100000
2012,AR,Department of Agriculture,2,199512,2,900000,4,1099512
2012,CA,Department of Agriculture,14,1397973,4,1799978,18,3197951
2012,CO,Department of Agriculture,2,200000,1,449808,3,649808
2012,DC,Department of Agriculture,1,100000,0,0,1,100000
2012,DE,Department of Agriculture,0,0,1,450000,1,450000
2012,FL,Department of Agriculture,2,196715,2,550000,4,746715
2012,GA,Department of Agriculture,2,200000,0,0,2,200000
2012,HI,Department of Agriculture,2,199778,0,0,2,199778
2012,IA,Department of Agriculture,2,199689,0,0,2,199689
2012,ID,Department of Agriculture,1,100000,1,450000,2,550000
2012,IL,Department of Agriculture,1,99598,1,449457,2,549055
2012,IN,Department of Agriculture,1,100000,0,0,1,100000
2012,KS,Department of Agriculture,2,199426,0,0,2,199426
2012,MA,Department of Agriculture,1,100000,2,900000,3,1000000
2012,MD,Department of Agriculture,0,0,1,449865,1,449865
2012,ME,Department of Agriculture,1,99780,0,0,1,99780
2012,MI,Department of Agriculture,3,288594,0,0,3,288594
2012,NC,Department of Agriculture,5,496965,0,0,5,496965
2012,NJ,Department of Agriculture,0,0,2,899580,2,899580
2012,NM,Department of Agriculture,2,199955,0,0,2,199955
2012,NY,Department of Agriculture,2,192088,1,395248,3,587336
2012,OH,Department of Agriculture,2,200000,1,449852,3,649852
2012,OR,Department of Agriculture,1,100000,0,0,1,100000
2012,PA,Department of Agriculture,0,0,1,450000,1,450000
2012,SC,Department of Agriculture,1,100000,0,0,1,100000
2012,SD,Department of Agriculture,2,199375,0,0,2,199375
2012,TN,Department of Agriculture,1,99832,0,0,1,99832
2012,TX,Department of Agriculture,1,99999,0,0,1,99999
2012,UT,Department of Agriculture,1,99997,0,0,1,99997
2012,WA,Department of Agriculture,3,265705,2,718339,5,984044
2012,WI,Department of Agriculture,4,399178,1,361500,5,760678
2012,WY,Department of Agriculture,0,0,2,898041,2,898041
2013,AK,Department of Agriculture,1,100000,0,0,1,100000
2013,AR,Department of Agriculture,2,189006,0,0,2,189006
2013,AZ,Department of Agriculture,2,195350,0,0,2,195350
2013,CA,Department of Agriculture,11,1088951,6,2698621,17,3787572
2013,CO,Department of Agriculture,3,299968,1,450000,4,749968
2013,CT,Department of Agriculture,1,99686,1,448000,2,547686
2013,DC,Department of Agriculture,0,0,1,449967,1,449967
2013,FL,Department of Agriculture,1,100000,2,897485,3,997485
2013,HI,Department of Agriculture,2,188166,0,0,2,188166
2013,IA,Department of Agriculture,1,100000,0,0,1,100000
2013,ID,Department of Agriculture,0,0,1,450000,1,450000
2013,IN,Department of Agriculture,2,200000,0,0,2,200000
2013,LA,Department of Agriculture,0,0,1,373000,1,373000
2013,MA,Department of Agriculture,3,299992,0,0,3,299992
2013,MD,Department of Agriculture,3,299991,1,395605,4,695596
2013,ME,Department of Agriculture,0,0,1,449000,1,449000
2013,MI,Department of Agriculture,5,497981,1,450000,6,947981
2013,MN,Department of Agriculture,0,0,1,449000,1,449000
2013,MT,Department of Agriculture,2,200000,0,0,2,200000
2013,NC,Department of Agriculture,1,100000,2,827000,3,927000
2013,NM,Department of Agriculture,0,0,1,450000,1,450000
2013,NV,Department of Agriculture,0,0,1,449063,1,449063
2013,NY,Department of Agriculture,3,238883,1,449995,4,688878
2013,OH,Department of Agriculture,2,180232,0,0,2,180232
2013,PA,Department of Agriculture,3,300000,1,449991,4,749991
2013,TN,Department of Agriculture,1,100000,1,449997,2,549997
2013,TX,Department of Agriculture,2,199954,0,0,2,199954
2013,UT,Department of Agriculture,0,0,1,449959,1,449959
2013,VA,Department of Agriculture,2,199357,0,0,2,199357
2013,WA,Department of Agriculture,4,385318,0,0,4,385318
2013,WI,Department of Agriculture,3,299815,3,1349720,6,1649535
2014,AK,Department of Agriculture,0,0,1,450000,1,450000
2014,AR,Department of Agriculture,1,100000,0,0,1,100000
2014,CA,Department of Agriculture,8,799753,2,900000,10,1699753
2014,CO,Department of Agriculture,2,200000,0,0,2,200000
2014,CT,Department of Agriculture,2,199996,1,449898,3,649894
2014,DE,Department of Agriculture,2,200000,0,0,2,200000
2014,FL,Department of Agriculture,1,99138,0,0,1,99138
2014,GA,Department of Agriculture,0,0,1,450000,1,450000
2014,HI,Department of Agriculture,2,199942,2,900000,4,1099942
2014,IA,Department of Agriculture,3,299219,0,0,3,299219
2014,ID,Department of Agriculture,1,97750,0,0,1,97750
2014,IN,Department of Agriculture,2,199714,2,899905,4,1099619
2014,KS,Department of Agriculture,4,395770,2,899800,6,1295570
2014,KY,Department of Agriculture,0,0,1,448000,1,448000
2014,MA,Department of Agriculture,6,599981,0,0,6,599981
2014,MD,Department of Agriculture,1,99998,2,900000,3,999998
2014,ME,Department of Agriculture,1,99993,0,0,1,99993
2014,MI,Department of Agriculture,2,136500,1,450000,3,586500
2014,MO,Department of Agriculture,2,199368,0,0,2,199368
2014,MT,Department of Agriculture,2,199989,0,0,2,199989
2014,NC,Department of Agriculture,1,99020,0,0,1,99020
2014,NH,Department of Agriculture,1,99785,0,0,1,99785
2014,NJ,Department of Agriculture,2,199400,0,0,2,199400
2014,NM,Department of Agriculture,1,100000,0,0,1,100000
2014,NY,Department of Agriculture,5,499709,2,900000,7,1399709
2014,OH,Department of Agriculture,3,297218,0,0,3,297218
2014,OK,Department of Agriculture,3,299715,0,0,3,299715
2014,OR,Department of Agriculture,4,399888,0,0,4,399888
2014,PA,Department of Agriculture,2,199973,0,0,2,199973
2014,SD,Department of Agriculture,1,99897,1,450000,2,549897
2014,TN,Department of Agriculture,0,0,1,450000,1,450000
2014,TX,Department of Agriculture,4,399915,0,0,4,399915
2014,UT,Department of Agriculture,1,100000,0,0,1,100000
2014,VA,Department of Agriculture,2,199970,1,450000,3,649970
2014,WA,Department of Agriculture,1,100000,2,836612,3,936612
2014,WI,Department of Agriculture,1,100000,4,1664140,5,1764140
2014,WY,Department of Agriculture,1,100000,0,0,1,100000
2015,AR,Department of Agriculture,4,399999,0,0,4,399999
2015,AZ,Department of Agriculture,3,299999,0,0,3,299999
2015,CA,Department of Agriculture,13,1299126,4,1999927,17,3299053
2015,CO,Department of Agriculture,2,199976,1,500000,3,699976
2015,CT,Department of Agriculture,1,100000,1,500000,2,600000
2015,DE,Department of Agriculture,1,100000,0,0,1,100000
2015,FL,Department of Agriculture,1,99994,0,0,1,99994
2015,GA,Department of Agriculture,2,194612,0,0,2,194612
2015,HI,Department of Agriculture,1,99981,0,0,1,99981
2015,IA,Department of Agriculture,0,0,1,499984,1,499984
2015,IL,Department of Agriculture,1,99948,0,0,1,99948
2015,IN,Department of Agriculture,0,0,1,499661,1,499661
2015,KS,Department of Agriculture,0,0,2,832275,2,832275
2015,KY,Department of Agriculture,2,199514,0,0,2,199514
2015,MA,Department of Agriculture,7,699655,2,999999,9,1699654
2015,MD,Department of Agriculture,1,100000,1,500000,2,600000
2015,ME,Department of Agriculture,1,100000,1,499991,2,599991
2015,MI,Department of Agriculture,1,100000,1,500000,2,600000
2015,MN,Department of Agriculture,3,299895,0,0,3,299895
2015,MO,Department of Agriculture,2,199803,0,0,2,199803
2015,MT,Department of Agriculture,0,0,1,452085,1,452085
2015,NC,Department of Agriculture,2,160703,0,0,2,160703
2015,NE,Department of Agriculture,3,299876,0,0,3,299876
2015,NH,Department of Agriculture,1,99981,0,0,1,99981
2015,NJ,Department of Agriculture,2,199809,1,499954,3,699763
2015,NY,Department of Agriculture,5,497555,1,498537,6,996092
2015,OH,Department of Agriculture,3,299864,2,962465,5,1262329
2015,OK,Department of Agriculture,1,93596,0,0,1,93596
2015,OR,Department of Agriculture,4,399803,1,500000,5,899803
2015,PA,Department of Agriculture,4,399942,0,0,4,399942
2015,SD,Department of Agriculture,2,199970,0,0,2,199970
2015,TN,Department of Agriculture,4,398027,0,0,4,398027
2015,TX,Department of Agriculture,1,99990,1,439867,2,539857
2015,UT,Department of Agriculture,0,0,1,499905,1,499905
2015,VA,Department of Agriculture,2,199981,1,500000,3,699981
2015,VT,Department of Agriculture,1,82466,0,0,1,82466
2015,WA,Department of Agriculture,2,199750,2,936321,4,1136071
2015,WI,Department of Agriculture,2,197074,1,500000,3,697074
2015,WY,Department of Agriculture,0,0,1,500000,1,500000
2016,AK,Department of Agriculture,2,194981,0,0,2,194981
2016,AR,Department of Agriculture,1,100000,0,0,1,100000
2016,AZ,Department of Agriculture,2,198975,1,599845,3,798820
2016,CA,Department of Agriculture,15,1478402,8,4798029,23,6276431
2016,CO,Department of Agriculture,5,499234,4,2399832,9,2899066
2016,DE,Department of Agriculture,1,100000,1,600000,2,700000
2016,FL,Department of Agriculture,1,99641,1,599800,2,699441
2016,GA,Department of Agriculture,0,0,1,600000,1,600000
2016,HI,Department of Agriculture,3,298772,1,599082,4,897854
2016,IA,Department of Agriculture,2,199769,0,0,2,199769
2016,ID,Department of Agriculture,2,197487,0,0,2,197487
2016,IL,Department of Agriculture,2,199308,0,0,2,199308
2016,IN,Department of Agriculture,1,99961,0,0,1,99961
2016,KS,Department of Agriculture,1,100000,0,0,1,100000
2016,MA,Department of Agriculture,2,199835,2,1160495,4,1360330
2016,MD,Department of Agriculture,1,100000,2,1194253,3,1294253
2016,ME,Department of Agriculture,1,99771,0,0,1,99771
2016,MI,Department of Agriculture,1,99915,1,600000,2,699915
2016,MN,Department of Agriculture,2,199969,1,599949,3,799918
2016,MO,Department of Agriculture,1,53005,0,0,1,53005
2016,MS,Department of Agriculture,1,99910,0,0,1,99910
2016,MT,Department of Agriculture,2,198316,0,0,2,198316
2016,NC,Department of Agriculture,3,298360,0,0,3,298360
2016,NE,Department of Agriculture,2,200000,1,600000,3,800000
2016,NH,Department of Agriculture,0,0,1,600000,1,600000
2016,NJ,Department of Agriculture,1,100000,1,599869,2,699869
2016,NM,Department of Agriculture,1,98770,0,0,1,98770
2016,NY,Department of Agriculture,2,199710,3,1797476,5,1997186
2016,OH,Department of Agriculture,3,299403,0,0,3,299403
2016,OR,Department of Agriculture,1,100000,1,600000,2,700000
2016,PA,Department of Agriculture,1,100000,1,532157,2,632157
2016,SC,Department of Agriculture,3,299793,0,0,3,299793
2016,TN,Department of Agriculture,2,200000,1,598501,3,798501
2016,TX,Department of Agriculture,2,177500,2,1199973,4,1377473
2016,UT,Department of Agriculture,1,100000,0,0,1,100000
2016,VA,Department of Agriculture,1,100000,0,0,1,100000
2016,VT,Department of Agriculture,1,99879,0,0,1,99879
2016,WA,Department of Agriculture,1,100000,0,0,1,100000
2016,WI,Department of Agriculture,2,199846,0,0,2,199846
2017,AR,Department of Agriculture,1,100000,1,600000,2,700000
2017,AZ,Department of Agriculture,1,100000,0,0,1,100000
2017,CA,Department of Agriculture,14,1396752,4,2329435,18,3726187
2017,CO,Department of Agriculture,7,697758,1,600000,8,1297758
2017,DE,Department of Agriculture,1,100000,1,600000,2,700000
2017,FL,Department of Agriculture,5,496243,0,0,5,496243
2017,GA,Department of Agriculture,0,0,1,600000,1,600000
2017,HI,Department of Agriculture,1,100000,1,596592,2,696592
2017,IA,Department of Agriculture,3,299800,2,1200000,5,1499800
2017,IL,Department of Agriculture,1,99725,2,1200000,3,1299725
2017,IN,Department of Agriculture,4,399681,0,0,4,399681
2017,KS,Department of Agriculture,1,99839,0,0,1,99839
2017,KY,Department of Agriculture,0,0,1,600000,1,600000
2017,LA,Department of Agriculture,1,96476,0,0,1,96476
2017,MA,Department of Agriculture,6,598742,1,599120,7,1197862
2017,MD,Department of Agriculture,3,299807,0,0,3,299807
2017,ME,Department of Agriculture,1,100000,0,0,1,100000
2017,MI,Department of Agriculture,2,199872,0,0,2,199872
2017,MN,Department of Agriculture,2,199960,1,599981,3,799941
2017,MO,Department of Agriculture,3,286000,0,0,3,286000
2017,MS,Department of Agriculture,1,100000,0,0,1,100000
2017,MT,Department of Agriculture,1,99853,1,599999,2,699852
2017,NC,Department of Agriculture,1,100000,0,0,1,100000
2017,ND,Department of Agriculture,1,100000,0,0,1,100000
2017,NE,Department of Agriculture,2,169315,2,1199999,4,1369314
2017,NY,Department of Agriculture,4,399849,1,592912,5,992761
2017,OH,Department of Agriculture,4,399154,2,1199640,6,1598794
2017,OK,Department of Agriculture,1,100000,0,0,1,100000
2017,OR,Department of Agriculture,2,200000,0,0,2,200000
2017,PA,Department of Agriculture,2,174936,0,0,2,174936
2017,RI,Department of Agriculture,1,97575,0,0,1,97575
2017,SC,Department of Agriculture,1,100000,1,600000,2,700000
2017,TN,Department of Agriculture,1,95069,1,599828,2,694897
2017,UT,Department of Agriculture,1,99733,0,0,1,99733
2017,VA,Department of Agriculture,2,199532,0,0,2,199532
2017,VT,Department of Agriculture,1,99979,0,0,1,99979
2017,WA,Department of Agriculture,3,298000,0,0,3,298000
2017,WI,Department of Agriculture,2,199575,2,1165359,4,1364934
2018,AL,Department of Agriculture,1,99834,0,0,1,99834
2018,AR,Department of Agriculture,0,0,1,600000,1,600000
2018,AZ,Department of Agriculture,1,100000,0,0,1,100000
2018,CA,Department of Agriculture,12,1199775,5,2999132,17,4198907
2018,CO,Department of Agriculture,3,299079,6,3598103,9,3897182
2018,CT,Department of Agriculture,1,99804,0,0,1,99804
2018,FL,Department of Agriculture,2,199921,1,599695,3,799616
2018,GA,Department of Agriculture,1,99544,0,0,1,99544
2018,HI,Department of Agriculture,1,99918,0,0,1,99918
2018,IA,Department of Agriculture,3,299546,1,600000,4,899546
2018,ID,Department of Agriculture,1,100000,0,0,1,100000
2018,IL,Department of Agriculture,2,198588,0,0,2,198588
2018,IN,Department of Agriculture,2,183751,2,1067877,4,1251628
2018,KS,Department of Agriculture,1,99920,0,0,1,99920
2018,KY,Department of Agriculture,1,100000,1,600000,2,700000
2018,LA,Department of Agriculture,1,100000,1,574400,2,674400
2018,MA,Department of Agriculture,8,797654,2,1199791,10,1997445
2018,MD,Department of Agriculture,0,0,1,599992,1,599992
2018,ME,Department of Agriculture,1,100000,1,600000,2,700000
2018,MI,Department of Agriculture,3,299236,1,598674,4,897910
2018,MN,Department of Agriculture,3,299394,0,0,3,299394
2018,MO,Department of Agriculture,3,296521,1,599997,4,896518
2018,MT,Department of Agriculture,1,99560,1,600000,2,699560
2018,NC,Department of Agriculture,6,597567,0,0,6,597567
2018,ND,Department of Agriculture,1,94172,0,0,1,94172
2018,NH,Department of Agriculture,1,100000,0,0,1,100000
2018,NJ,Department of Agriculture,1,99680,0,0,1,99680
2018,NY,Department of Agriculture,0,0,2,1199915,2,1199915
2018,OH,Department of Agriculture,1,99914,2,1086675,3,1186589
2018,OK,Department of Agriculture,1,100000,1,600000,2,700000
2018,OR,Department of Agriculture,0,0,2,1199477,2,1199477
2018,PA,Department of Agriculture,5,499990,0,0,5,499990
2018,SC,Department of Agriculture,1,100000,0,0,1,100000
2018,SD,Department of Agriculture,1,99981,0,0,1,99981
2018,TX,Department of Agriculture,1,99990,0,0,1,99990
2018,VA,Department of Agriculture,5,441106,1,599235,6,1040341
2018,WA,Department of Agriculture,2,199559,1,599384,3,798943
2018,WI,Department of Agriculture,1,100000,1,599204,2,699204
2010,AL,Department of Commerce,0,0,1,299994.33,1,299994.33
2010,AZ,Department of Commerce,0,0,1,299125,1,299125
2010,CA,Department of Commerce,3,279308.41,5,1474206,8,1753514.41
2010,CO,Department of Commerce,3,283324.36,1,397089,4,680413.36
2010,CT,Department of Commerce,0,0,1,350000,1,350000
2010,GA,Department of Commerce,0,0,1,399948.1,1,399948.1
2010,LA,Department of Commerce,1,94940,0,0,1,94940
2010,MA,Department of Commerce,2,184996,1,299986,3,484982
2010,MD,Department of Commerce,2,189709,0,0,2,189709
2010,ME,Department of Commerce,2,189992,0,0,2,189992
2010,MI,Department of Commerce,1,89700,0,0,1,89700
2010,MN,Department of Commerce,1,90000,0,0,1,90000
2010,NC,Department of Commerce,0,0,1,400000,1,400000
2010,NJ,Department of Commerce,0,0,1,300000,1,300000
2010,NY,Department of Commerce,1,90000,0,0,1,90000
2010,OR,Department of Commerce,0,0,1,300000,1,300000
2010,PA,Department of Commerce,1,94281.73,0,0,1,94281.73
2010,RI,Department of Commerce,1,94972.5,0,0,1,94972.5
2010,TX,Department of Commerce,2,185000,0,0,2,185000
2010,UT,Department of Commerce,1,94950,0,0,1,94950
2010,VA,Department of Commerce,2,189398.09,1,400000,3,589398.09
2010,WA,Department of Commerce,2,184656.43,0,0,2,184656.43
2010,WI,Department of Commerce,1,90000,0,0,1,90000
2011,AL,Department of Commerce,1,88789,0,0,1,88789
2011,CA,Department of Commerce,3,273785,1,399883.48,4,673668.48
2011,CO,Department of Commerce,1,90000,2,799962,3,889962
2011,CT,Department of Commerce,1,95000,0,0,1,95000
2011,DE,Department of Commerce,1,89999,0,0,1,89999
2011,IL,Department of Commerce,1,90000,0,0,1,90000
2011,KY,Department of Commerce,1,90000,0,0,1,90000
2011,LA,Department of Commerce,0,0,2,399961,2,399961
2011,MA,Department of Commerce,2,184878.92,1,299995,3,484873.92
2011,MD,Department of Commerce,3,275000,0,0,3,275000
2011,ME,Department of Commerce,0,0,1,300000,1,300000
2011,MI,Department of Commerce,1,89979,1,299620,2,389599
2011,MN,Department of Commerce,1,94428.18,1,300000,2,394428.18
2011,MS,Department of Commerce,1,94896.16,0,0,1,94896.16
2011,NC,Department of Commerce,1,90000,0,0,1,90000
2011,NY,Department of Commerce,0,0,1,300000,1,300000
2011,OR,Department of Commerce,1,94945,0,0,1,94945
2011,PA,Department of Commerce,1,94969,0,0,1,94969
2011,TX,Department of Commerce,1,90000,1,300000,2,390000
2011,UT,Department of Commerce,0,0,1,299985,1,299985
2011,VA,Department of Commerce,1,95000,0,0,1,95000
2011,WA,Department of Commerce,0,0,1,298427,1,298427
2011,WI,Department of Commerce,1,94946,0,0,1,94946
2012,AK,Department of Commerce,0,0,1,300000,1,300000
2012,CA,Department of Commerce,3,279918,2,700000,5,979918
2012,CO,Department of Commerce,1,95000,0,0,1,95000
2012,DE,Department of Commerce,0,0,1,300000,1,300000
2012,GA,Department of Commerce,1,95000,0,0,1,95000
2012,MA,Department of Commerce,1,94684,1,399691,2,494375
2012,MD,Department of Commerce,1,89994,1,299066,2,389060
2012,MT,Department of Commerce,1,94998,0,0,1,94998
2012,NC,Department of Commerce,2,184191.78,0,0,2,184191.78
2012,NM,Department of Commerce,1,89970,0,0,1,89970
2012,OR,Department of Commerce,0,0,1,294863,1,294863
2012,PA,Department of Commerce,1,82133.56,1,336382,2,418515.56
2012,TX,Department of Commerce,1,90000,0,0,1,90000
2012,VA,Department of Commerce,2,179912,1,399976.4,3,579888.4
2012,WI,Department of Commerce,1,90000,0,0,1,90000
2013,AL,Department of Commerce,1,89973,0,0,1,89973
2013,CA,Department of Commerce,6,554158.21,0,0,6,554158.21
2013,CO,Department of Commerce,2,184994,0,0,2,184994
2013,DE,Department of Commerce,1,94761.7,0,0,1,94761.7
2013,GA,Department of Commerce,0,0,1,400000,1,400000
2013,MA,Department of Commerce,1,94979.1,1,399777,2,494756.1
2013,MD,Department of Commerce,2,184999,1,300000,3,484999
2013,MI,Department of Commerce,1,94996.9,0,0,1,94996.9
2013,MT,Department of Commerce,0,0,1,399993,1,399993
2013,NC,Department of Commerce,0,0,1,400000,1,400000
2013,NM,Department of Commerce,0,0,1,300000,1,300000
2013,NY,Department of Commerce,1,89920,0,0,1,89920
2013,PA,Department of Commerce,1,90000,1,397510.08,2,487510.08
2013,TX,Department of Commerce,0,0,1,300000,1,300000
2013,VA,Department of Commerce,3,279895.72,1,299972,4,579867.72
2013,WI,Department of Commerce,0,0,1,300000,1,300000
2014,CA,Department of Commerce,6,544045.38,5,1699727,11,2243772.38
2014,CO,Department of Commerce,2,184581.91,2,699645,4,884226.91
2014,DE,Department of Commerce,0,0,1,399979.35,1,399979.35
2014,FL,Department of Commerce,1,94640,0,0,1,94640
2014,HI,Department of Commerce,1,94996,0,0,1,94996
2014,IL,Department of Commerce,2,189403.33,0,0,2,189403.33
2014,IN,Department of Commerce,1,90000,1,399916.44,2,489916.44
2014,MA,Department of Commerce,3,279121.68,1,399903.92,4,679025.6
2014,MD,Department of Commerce,1,94117,1,400000,2,494117
2014,ME,Department of Commerce,1,94999,0,0,1,94999
2014,NJ,Department of Commerce,1,89995.54,0,0,1,89995.54
2014,NM,Department of Commerce,1,89987.78,0,0,1,89987.78
2014,NY,Department of Commerce,1,90000,0,0,1,90000
2014,OK,Department of Commerce,1,89957,0,0,1,89957
2014,PA,Department of Commerce,1,94870.51,0,0,1,94870.51
2014,VA,Department of Commerce,0,0,2,799900.73,2,799900.73
2015,AZ,Department of Commerce,1,99803,0,0,1,99803
2015,CA,Department of Commerce,9,767019.43,3,999951,12,1766970.43
2015,CO,Department of Commerce,1,94846.4,2,699998,3,794844.4
2015,CT,Department of Commerce,1,95000,0,0,1,95000
2015,FL,Department of Commerce,0,0,1,400000,1,400000
2015,GA,Department of Commerce,2,189849.06,0,0,2,189849.06
2015,HI,Department of Commerce,0,0,1,399219,1,399219
2015,IA,Department of Commerce,0,0,1,300000,1,300000
2015,IL,Department of Commerce,0,0,1,399105.86,1,399105.86
2015,KY,Department of Commerce,1,100000,0,0,1,100000
2015,LA,Department of Commerce,1,95000,0,0,1,95000
2015,MA,Department of Commerce,3,288808.83,2,799988.81,5,1088797.64
2015,MD,Department of Commerce,2,199619,1,391283.4,3,590902.4
2015,ME,Department of Commerce,0,0,1,399999,1,399999
2015,MN,Department of Commerce,2,193909,0,0,2,193909
2015,MS,Department of Commerce,1,95000,0,0,1,95000
2015,NJ,Department of Commerce,0,0,1,300000,1,300000
2015,NM,Department of Commerce,2,189992,1,299987,3,489979
2015,NY,Department of Commerce,2,194695.07,0,0,2,194695.07
2015,OK,Department of Commerce,3,194992.5,0,0,3,194992.5
2015,OR,Department of Commerce,1,99910,0,0,1,99910
2015,PA,Department of Commerce,1,94692,1,399941,2,494633
2015,UT,Department of Commerce,1,100000,0,0,1,100000
2015,VA,Department of Commerce,1,94951.79,0,0,1,94951.79
2016,CA,Department of Commerce,11,1035070.59,6,2198617.92,17,3233688.51
2016,CO,Department of Commerce,2,238770,0,0,2,238770
2016,HI,Department of Commerce,1,119519.76,0,0,1,119519.76
2016,KY,Department of Commerce,0,0,1,300000,1,300000
2016,LA,Department of Commerce,0,0,1,400000,1,400000
2016,MA,Department of Commerce,8,919880.4,2,699946,10,1619826.4
2016,MD,Department of Commerce,1,98750,2,598706,3,697456
2016,MI,Department of Commerce,1,119977.44,0,0,1,119977.44
2016,MS,Department of Commerce,1,120000,1,400000,2,520000
2016,MT,Department of Commerce,2,219727,0,0,2,219727
2016,NC,Department of Commerce,1,119921,0,0,1,119921
2016,NE,Department of Commerce,1,119959,0,0,1,119959
2016,NM,Department of Commerce,0,0,2,780239,2,780239
2016,NV,Department of Commerce,0,0,1,399635,1,399635
2016,NY,Department of Commerce,1,99692.29,1,399999.96,2,499692.25
2016,OH,Department of Commerce,2,239987.62,0,0,2,239987.62
2016,OK,Department of Commerce,1,100000,1,399999.28,2,499999.28
2016,PA,Department of Commerce,1,99993.19,1,399909,2,499902.19
2016,TX,Department of Commerce,1,100000,0,0,1,100000
2016,UT,Department of Commerce,0,0,1,300000,1,300000
2016,VA,Department of Commerce,5,559060.98,0,0,5,559060.98
